school,
'Alcona Community s',
 'Greenbush Christian Academy',
 'Burt Township ',
 'Munising Baptist ',
 'Munising High ',
 'Superior Central ',
 'Allegan County Area Technical & Education Center',
 'Allegan Alternative High ',
 'Allegan High ',
 'East Martin Christian High ',
 'Fennville High ',
 'Hamilton High ',
 'Holland Christian High ',
 'Hopkins High ',
 'Martin High ',
 'Otsego Baptist Academy',
 'Otsego High ',
 'Plainwell High ',
 'Renaissance High ',
 'Saugatuck High ',
 'Wayland Union High ',
 'Alpena High ',
 'ACES Academy',
 'Alba Public ',
 'Bellaire High ',
 'Central Lake High ',
 'Concord Academy',
 'Elk Rapids High ',
 'Ellsworth Community ',
 'Mancelona High ',
 'Arenac Eastern High ',
 'Au Gres-Sims High ',
 'Standish-Sterling Central High ',
 'Baraga Junior/Senior High ',
 "L'Anse High ",
 'Barry County Christian ',
 'Cedar Creek Christian ',
 'Delton-Kellogg Alternative High ',
 'Delton-Kellogg High ',
 'Hastings High ',
 'Lakewood High ',
 'Thornapple-Kellogg High ',
 'Bay City Public s',
 'Bay City Central High ',
 'Bay City Western High ',
 'Wenona Center High ',
 'All Saints Central High ',
 'Bay-Arenac Community High ',
 'Bible Baptist ',
 'Garber High ',
 'John Glenn High ',
 'Pinconning Advancement Academy',
 'Pinconning Area High ',
 'Benzie Central High ',
 'Frankfort High ',
 'Benton Harbor Public s',
 'Benton Harbor Freshman Academy',
 'Benton Harbor High ',
 'Andrews Academy',
 'Berrien Springs High ',
 'Brandywine Middle/Senior High ',
 'Bridgman High ',
 'Buchanan High ',
 'Coloma High ',
 'Countryside Academy',
 'Eau Claire Middle-High ',
 'Grace Christian ',
 'Jesus Christ Academy',
 'Lake Michigan Catholic High ',
 'Lakeshore High ',
 'Michigan Lutheran High ',
 'New Buffalo High ',
 'Niles High ',
 'River Valley Middle/High ',
 'St. Joseph High ',
 'Watervliet Senior High ',
 'Bronson Junior/Senior High ',
 'Coldwater High ',
 'Fiske International ',
 'Franklin High ',
 'Pansophia Academy',
 'Quincy High ',
 'Albion High ',
 'Athens High ',
 'Battle Creek Central High ',
 'Bedford Bible Church ',
 'Cooks Prairie Baptist ',
 'Harper Creek High ',
 'Homer Community ',
 'Lakeview High ',
 'Maple Grove Christian Academy',
 'Marshall High ',
 'Pennfield Senior High ',
 'South Hill Academy',
 'St. Philip Catholic Central High ',
 'Tekonsha Senior High ',
 'Union City High ',
 'Calvary Bible Academy',
 'Dowagiac Union High ',
 'Edwardsburg High ',
 'Marcellus High ',
 'Ross Beatty Junior/Senior High ',
 'Beaver Island Community ',
 'Boyne City High ',
 'Boyne Falls Public ',
 'Charlevoix High ',
 'Concord Academy Boyne',
 'East Jordan High ',
 'Northwest Academy',
 'Cheboygan Area High ',
 'Inland Lakes High ',
 'Mackinaw City High ',
 'Northern Michigan Christian Academy',
 'Wolverine Middle/High ',
 'Brimley Middle/High ',
 'DeTour High ',
 'Malcolm High ',
 'Maplewood Baptist Academy',
 'Ojibwe Charter ',
 'Pickford High ',
 'Rudyard High ',
 'Sault Area High ',
 'Whitefish Township Community ',
 'Clare High ',
 'Clare-Gladwin Day ',
 'Farwell High ',
 'Farwell Timberland Alternative High ',
 'Harrison High ',
 'Pioneer High ',
 'Bath High ',
 'DeWitt High ',
 'Fowler High ',
 'Ovid-Elsie High ',
 'Pewamo-Westphalia Junior/Senior High ',
 'St. Johns High ',
 'Wilson Center Alternative Education',
 'Calvary Baptist Academy',
 'Grayling High ',
 'Bark River-Harris High ',
 'Big Bay de Noc High ',
 'Escanaba Area High ',
 'Bay Middle College (Formerly Fitzharris Alternative High )',
 'Gladstone Area High ',
 'Mid-Peninsula High ',
 'Rapid River High ',
 'Iron Mountain High ',
 'Kingsford High ',
 'North Dickinson County ',
 'Norway High ',
 'Bellevue High ',
 'Charlotte High ',
 'Eaton Rapids High ',
 'Grand Ledge High ',
 'Maple Valley Junior/Senior High ',
 'Mount Olivet Christian ',
 'Olivet High ',
 'Potterville High ',
 'Sawdon High ',
 'Waverly High ',
 'Alanson-Littlefield High ',
 'Concord Academy Petoskey',
 'Harbor Light Christian ',
 'Harbor Springs High ',
 'Pellston High ',
 'Petoskey High ',
 'St. Michael the Archangel Regional Catholic Academy',
 'Flint Community s',
 'Flint Central High ',
 'Flint Northern High ',
 'Flint Northwestern Academy',
 'Flint Southwestern Academy',
 'Mott Adult High ',
 's of Choice',
 'Alternative Academy',
 'Atherton High ',
 'Beecher High ',
 'Bendle High ',
 'Bentley High ',
 'Carman-Ainsworth High ',
 'Clio Area High ',
 'Davison High ',
 'Faith Baptist ',
 'Faithway Christian ',
 'Fenton High ',
 'Flushing High ',
 'Genesee Christian ',
 'Genesee Junior/Senior High ',
 'Goodrich High ',
 'Grace Christian Academy',
 'Grand Blanc Community High ',
 'Hamady High ',
 'Hill-McCloy High ',
 'International Academy of Flint',
 'Judson Christian Academy',
 'Kearsley High ',
 'Elisabeth Ann Johnson Memorial High ',
 'Lake Fenton High ',
 'Lakeville Alternative High ',
 'Lakeville Memorial High ',
 'Linden High ',
 'Mott Middle College',
 'Mount Morris Alternative Education',
 'Powers Catholic High ',
 'Richfield Christian Academy',
 'Southern Lakes Academy',
 'St. Thomas More Academy',
 'Swartz Creek High ',
 'Valley Christian Academy',
 'Valley ',
 'Beaverton High ',
 'Gladwin Community Alternative High ',
 'Gladwin High ',
 'Skeels Christian ',
 'Gogebic County Community Education',
 'A.D. Johnston Senior/Junior High ',
 'Wakefield-Marenisco ',
 'Watersmeet Township ',
 'Luther L. Wright Middle /High ',
 'Interlochen Center for the Arts',
 'Kingsley Area High ',
 'St. Francis High ',
 'Traverse City Christian Junior-Senior High ',
 'Traverse City Central High ',
 'Traverse City West Senior High',
 'Alma High ',
 'Ashley High ',
 'Breckenridge High ',
 'Fulton High ',
 'Ithaca High ',
 'St. Louis High ',
 'Bird Lake Bible ',
 'Camden-Frontier High ',
 'Freedom Farm Christian ',
 'Hillsdale Academy',
 'Hillsdale Alternative High ',
 'Hillsdale High ',
 'Jonesville High ',
 'Litchfield High ',
 'New Hope Christian ',
 'New Hope United Brethren ',
 'North Adams High ',
 'Phoenix Alternative Secondary ',
 'Pittsford High ',
 'Reading Junior-Senior High ',
 'Waldron Area ',
 'Will Carleton Academy',
 'Calumet-Laurium-Keweenaw High ',
 'Chassell Township ',
 'Copper Country Christian ',
 'Dollar Bay-Tamarack City High ',
 'Hancock Central High  (Hancock',
 'Houghton High ',
 'Jeffers High ',
 'Lake Linden?Hubbell High ',
 'Bad Axe High ',
 'Caseville Public ',
 'Harbor Beach High ',
 'Laker High ',
 'North Huron Secondary ',
 'Owendale-Gagetown High ',
 'Port Hope Community ',
 'Ubly Community High ',
 'Lansing  District',
 'Eastern High ',
 'Everett High ',
 'J.W. Sexton High ',
 'Capitol City Baptist ',
 'Central Lutheran High ',
 'Dansville High ',
 'East Lansing High ',
 'Haslett High ',
 'Holt Central High ',
 'Holt High ',
 'Lakeside Christian ',
 'Lansing Baptist ',
 'Lansing Catholic High ',
 'Lansing Christian ',
 'Leslie High ',
 'Mason High ',
 'New Covenant Christian ',
 'Okemos High ',
 'Stockbridge Alternative High ',
 'Stockbridge High ',
 'Summit High ',
 'Webberville Alternative Secondary ',
 'Webberville High ',
 'Williamston High ',
 'Belding Alternative Education',
 'Belding High ',
 'Faith Christian ',
 'Ionia High ',
 'Portland High ',
 'Saranac High ',
 'St. Patrick High ',
 'Hale High ',
 'Living Truth Learning Center',
 'Oscoda High ',
 'Pinecrest ',
 'Tawas Area High ',
 'Whittemore-Prescott High ',
 'Iron River Christian Academy',
 'Forest Park High ',
 'West Iron County High ',
 'Beal City ',
 'Morey Charter ',
 'Mount Pleasant High ',
 'Oasis High ',
 'Odyssey Middle/High ',
 'Sacred Heart Academy High ',
 'Shepherd Senior High ',
 'Columbia Central High ',
 'Concord High ',
 'Da Vinci High ',
 'East Jackson Secondary ',
 'Grass Lake High  Grass Lake',
 'Hanover-Horton High ',
 'Jackson Christian High ',
 'Jackson High ',
 'Lumen Christi Catholic ',
 'Michigan Center Senior High ',
 'Napoleon High ',
 'Northwest Alternative High ',
 'Northwest High ',
 'Springport High ',
 'Vandercook Lake High ',
 'Western High ',
 'Climax-Scotts High ',
 'Comstock Public s',
 'Comstock Alternative High ',
 'Comstock High ',
 'Galesburg-Augusta High ',
 'Gull Lake High ',
